,arquivo,tempo
0,2023-01-05 14_56_55.163012.png,27.142833948135376
1,2023-01-05 14_56_55.163012(1).png,26.694032669067383
2,2023-01-05 14_56_55.163229.png,19.038746118545532
3,2023-01-05 14_58_07.296018(1).png,24.199983596801758
4,2023-01-05 14_58_07.296290.png,19.06582021713257
5,2023-01-05 15_23_41.263427.png,11.602849006652832
6,2023-01-05 15_23_41.263427(1).png,11.501837015151978
7,2023-01-05 15_23_41.263629.png,9.548298120498657
8,2023-01-05 15_30_17.167361.png,24.953545331954956
9,2023-01-05 15_30_17.167361(1).png,24.6429660320282
10,2023-01-05 15_30_17.167617.png,23.624773502349854
11,2023-01-05 15_43_09.092080.png,6.3033366203308105
12,2023-01-05 15_43_09.092080(1).png,6.272722482681274
13,2023-01-05 15_43_09.092346.png,5.506333112716675
14,2023-01-05 15_52_43.569775.png,14.253596067428589
15,2023-01-05 15_52_43.569775(1).png,14.486353874206543
16,2023-01-05 15_52_43.570079.png,11.481997966766357
17,2023-01-05 15_52_57.099925.png,12.574862003326416
18,2023-01-05 15_52_57.099925(1).png,12.677568435668945
19,2023-01-05 15_52_57.100227.png,8.050589799880981
20,2023-01-05 16_09_24.772325.png,21.012454748153687
21,2023-01-05 16_09_24.772325(1).png,21.195626974105835
22,2023-01-05 16_09_24.772616.png,22.078214168548584
23,bio2023-01-05 14_57_38.093617.png,19.547091960906982
24,bio2023-01-05 14_57_46.740020.png,5.61398458480835
25,bio2023-01-05 14_57_49.878298.png,20.744527339935303
26,bio2023-01-05 15_31_05.798331.png,5.5753889083862305
27,bio2023-01-05 15_31_10.384106.png,5.394634246826172
28,bio2023-01-05 15_31_16.165460.png,5.379475831985474
29,bio2023-01-05 15_43_55.389120.png,5.469410181045532
30,bio2023-01-05 15_44_01.953220.png,6.325768947601318
31,bio2023-01-05 15_44_06.137567.png,6.300930738449097
32,bio2023-01-05 15_44_08.516014.png,6.6278603076934814
33,bio2023-01-05 15_53_39.404352.png,9.593143224716187
34,bio2023-01-05 15_53_45.256147.png,11.535895824432373
35,bio2023-01-05 15_54_01.122089.png,11.956896543502808
36,bio2023-01-05 15_54_08.204504.png,10.873776912689209
37,bio2023-01-05 15_57_39.691042.png,42.14058256149292
38,bio2023-01-05 15_57_44.276649.png,5.8324134349823
39,bio2023-01-05 15_57_54.749579.png,32.416006326675415
40,bio2023-01-05 16_10_31.460052.png,5.861551523208618
41,bio2023-01-05 16_10_36.927853.png,5.649066209793091
42,bio2023-01-05 16_10_43.441765.png,5.426750183105469
43,bio2023-01-05 16_10_46.578741.png,5.451368808746338
44,bio2023-01-05 16_10_52.282390.png,5.3302929401397705
45,bio2023-01-05 16_10_55.282907.png,25.69849967956543
46,measurement_2023-01-05 14_56_55.163012.png,5.838906288146973
47,measurement_2023-01-05 14_58_07.296018.png,5.692397594451904
48,measurement_2023-01-05 14_58_07.296018(1).png,5.764940023422241
49,measurement_2023-01-05 15_23_41.263427.png,5.61268949508667
50,measurement_2023-01-05 15_23_41.263427(1).png,5.64572548866272
51,measurement_2023-01-05 15_30_17.167361.png,5.566912412643433
52,measurement_2023-01-05 15_30_17.167361(1).png,5.609000205993652
53,measurement_2023-01-05 15_43_09.092080.png,5.335687160491943
54,measurement_2023-01-05 15_43_09.092080(1).png,5.321006536483765
55,measurement_2023-01-05 15_52_43.569775.png,5.264834403991699
56,measurement_2023-01-05 15_52_43.569775(1).png,5.305273056030273
57,measurement_2023-01-05 15_52_57.099925.png,5.286001443862915
58,measurement_2023-01-05 15_52_57.099925(1).png,5.328285455703735
59,measurement_2023-01-05 16_09_24.772325.png,5.559581518173218
60,NIR6602023-01-05 14_57_13.808211.png,5.5410051345825195
61,NIR6602023-01-05 15_23_53.684036.png,5.379401206970215
62,NIR6602023-01-05 15_30_40.207757.png,5.3830907344818115
63,NIR6602023-01-05 15_30_47.942408.png,5.407876014709473
64,NIR6602023-01-05 15_43_23.648438.png,5.447055339813232
65,NIR6602023-01-05 15_53_13.536711.png,10.463687419891357
66,NIR7302023-01-05 15_23_53.684262.png,5.506741046905518
67,NIR7302023-01-05 15_30_40.207971.png,10.826075315475464
68,NIR7302023-01-05 15_30_47.942637.png,5.543711423873901
69,NIR7302023-01-05 15_43_23.648707.png,5.461774110794067
70,NIR7302023-01-05 15_53_13.536958.png,10.027412414550781
71,NIR7602023-01-05 14_57_13.808470.png,5.462446451187134
72,NIR7602023-01-05 15_23_53.684337.png,5.40001654624939
73,NIR7602023-01-05 15_30_40.208046.png,10.497101783752441
74,NIR7602023-01-05 15_30_47.942712.png,5.519501686096191
75,NIR7602023-01-05 15_43_23.648803.png,5.385154485702515
76,NIR7602023-01-05 15_53_13.537423.png,5.440854787826538
77,NIR7802023-01-05 14_57_13.808523.png,5.572033166885376
78,NIR7802023-01-05 15_23_53.684421.png,5.44490122795105
79,NIR7802023-01-05 15_30_40.208117.png,12.25279450416565
80,NIR7802023-01-05 15_30_47.942781.png,5.524677753448486
81,NIR7802023-01-05 15_43_23.648888.png,5.409037113189697
82,NIR7802023-01-05 15_53_13.537514.png,5.401898622512817
83,NIR8102023-01-05 14_57_13.808595.png,5.457709074020386
84,NIR8102023-01-05 15_23_53.684490.png,5.422261714935303
85,NIR8102023-01-05 15_30_40.208187.png,12.385939836502075
86,NIR8102023-01-05 15_30_47.942847.png,11.155447959899902
87,NIR8102023-01-05 15_43_23.648989.png,5.520171403884888
88,NIR8102023-01-05 15_53_13.537593.png,10.262251615524292
89,segmentation_2023-01-05 14_58_07.296018.png,5.9781999588012695
90,segmentation_2023-01-05 15_23_41.263427.png,5.526888847351074
91,segmentation_2023-01-05 15_30_17.167361.png,5.831125497817993
92,segmentation_2023-01-05 15_43_09.092080.png,5.571888446807861
93,segmentation_2023-01-05 15_52_43.569775.png,5.476093053817749
94,segmentation_2023-01-05 15_52_57.099925.png,5.770547389984131
95,segmentation_2023-01-05 16_09_24.772325.png,5.812323808670044
96,ther2023-01-05 14_56_39.633911.png,4.830248117446899
97,ther2023-01-05 15_23_25.780667.png,4.627126455307007
98,ther2023-01-05 15_30_24.793239.png,4.690445423126221
99,ther2023-01-05 15_30_28.785306.png,4.7129645347595215
100,ther2023-01-05 15_42_56.708242.png,4.703723669052124
101,ther2023-01-05 15_52_24.204677.png,4.8904290199279785
102,ther2023-01-05 16_09_11.624048.png,4.7196362018585205
103,imagem0_mask_wound_0.jpeg,5.42913818359375
104,imagem0_mask_wound_1.jpeg,5.42612099647522
105,measurement_imagem0.png,5.710205554962158
106,imagem1_mask_wound_0.jpeg,5.527913331985474
